size,dataset,algorithm
3400,aleatorio_sem_rep,Quick
3400,aleatorio_sem_rep,Heap
4000,crescente_com_rep,Bubble
4000,crescente_com_rep,Insertion
4000,crescente_com_rep,Selection
4000,crescente_com_rep,Merge
4000,crescente_com_rep,Quick
4000,crescente_com_rep,Heap
4000,decrescente_com_rep,Bubble
4000,decrescente_com_rep,Insertion
4000,decrescente_com_rep,Selection
4000,decrescente_com_rep,Merge
4000,decrescente_com_rep,Quick
4000,decrescente_com_rep,Heap
4000,aleatorio_com_rep,Bubble
4000,aleatorio_com_rep,Insertion
4000,aleatorio_com_rep,Selection
4000,aleatorio_com_rep,Merge
4000,aleatorio_com_rep,Quick
4000,aleatorio_com_rep,Heap
4000,crescente_sem_rep,Bubble
4000,crescente_sem_rep,Insertion
4000,crescente_sem_rep,Selection
4000,crescente_sem_rep,Merge
4000,crescente_sem_rep,Quick
4000,crescente_sem_rep,Heap
4000,decrescente_sem_rep,Bubble
4000,decrescente_sem_rep,Insertion
4000,decrescente_sem_rep,Selection
4000,decrescente_sem_rep,Merge
4000,decrescente_sem_rep,Quick
4000,decrescente_sem_rep,Heap
4000,aleatorio_sem_rep,Bubble
4000,aleatorio_sem_rep,Insertion
4000,aleatorio_sem_rep,Selection
4000,aleatorio_sem_rep,Merge
4000,aleatorio_sem_rep,Quick
4000,aleatorio_sem_rep,Heap
4600,crescente_com_rep,Bubble
4600,crescente_com_rep,Insertion
4600,crescente_com_rep,Selection
4600,crescente_com_rep,Merge
4600,crescente_com_rep,Quick
4600,crescente_com_rep,Heap
4600,decrescente_com_rep,Bubble
4600,decrescente_com_rep,Insertion
4600,decrescente_com_rep,Selection
4600,decrescente_com_rep,Merge
4600,decrescente_com_rep,Quick
4600,decrescente_com_rep,Heap
4600,aleatorio_com_rep,Bubble
4600,aleatorio_com_rep,Insertion
4600,aleatorio_com_rep,Selection
4600,aleatorio_com_rep,Merge
4600,aleatorio_com_rep,Quick
4600,aleatorio_com_rep,Heap
4600,crescente_sem_rep,Bubble
4600,crescente_sem_rep,Insertion
4600,crescente_sem_rep,Selection
4600,crescente_sem_rep,Merge
4600,crescente_sem_rep,Quick
4600,crescente_sem_rep,Heap
4600,decrescente_sem_rep,Bubble
4600,decrescente_sem_rep,Insertion
4600,decrescente_sem_rep,Selection
4600,decrescente_sem_rep,Merge
4600,decrescente_sem_rep,Quick
4600,decrescente_sem_rep,Heap
4600,aleatorio_sem_rep,Bubble
4600,aleatorio_sem_rep,Insertion
4600,aleatorio_sem_rep,Selection
4600,aleatorio_sem_rep,Merge
4600,aleatorio_sem_rep,Quick
4600,aleatorio_sem_rep,Heap
5200,crescente_com_rep,Bubble
5200,crescente_com_rep,Insertion
5200,crescente_com_rep,Selection
5200,crescente_com_rep,Merge
5200,crescente_com_rep,Quick
5200,crescente_com_rep,Heap
5200,decrescente_com_rep,Bubble
5200,decrescente_com_rep,Insertion
5200,decrescente_com_rep,Selection
5200,decrescente_com_rep,Merge
5200,decrescente_com_rep,Quick
5200,decrescente_com_rep,Heap
5200,aleatorio_com_rep,Bubble
5200,aleatorio_com_rep,Insertion
5200,aleatorio_com_rep,Selection
5200,aleatorio_com_rep,Merge
5200,aleatorio_com_rep,Quick
5200,aleatorio_com_rep,Heap
5200,crescente_sem_rep,Bubble
5200,crescente_sem_rep,Insertion
5200,crescente_sem_rep,Selection
5200,crescente_sem_rep,Merge
5200,crescente_sem_rep,Quick
5200,crescente_sem_rep,Heap
5200,decrescente_sem_rep,Bubble
5200,decrescente_sem_rep,Insertion
5200,decrescente_sem_rep,Selection
5200,decrescente_sem_rep,Merge
5200,decrescente_sem_rep,Quick
5200,decrescente_sem_rep,Heap
5200,aleatorio_sem_rep,Bubble
5200,aleatorio_sem_rep,Insertion
5200,aleatorio_sem_rep,Selection
5200,aleatorio_sem_rep,Merge
5200,aleatorio_sem_rep,Quick
5200,aleatorio_sem_rep,Heap
5800,crescente_com_rep,Bubble
5800,crescente_com_rep,Insertion
5800,crescente_com_rep,Selection
5800,crescente_com_rep,Merge
5800,crescente_com_rep,Quick
5800,crescente_com_rep,Heap
5800,decrescente_com_rep,Bubble
5800,decrescente_com_rep,Insertion
5800,decrescente_com_rep,Selection
5800,decrescente_com_rep,Merge
5800,decrescente_com_rep,Quick
5800,decrescente_com_rep,Heap
5800,aleatorio_com_rep,Bubble
5800,aleatorio_com_rep,Insertion
5800,aleatorio_com_rep,Selection
5800,aleatorio_com_rep,Merge
5800,aleatorio_com_rep,Quick
5800,aleatorio_com_rep,Heap
5800,crescente_sem_rep,Bubble
5800,crescente_sem_rep,Insertion
5800,crescente_sem_rep,Selection
5800,crescente_sem_rep,Merge
5800,crescente_sem_rep,Quick
5800,crescente_sem_rep,Heap
5800,decrescente_sem_rep,Bubble
5800,decrescente_sem_rep,Insertion
5800,decrescente_sem_rep,Selection
5800,decrescente_sem_rep,Merge
5800,decrescente_sem_rep,Quick
5800,decrescente_sem_rep,Heap
5800,aleatorio_sem_rep,Bubble
5800,aleatorio_sem_rep,Insertion
5800,aleatorio_sem_rep,Selection
5800,aleatorio_sem_rep,Merge
5800,aleatorio_sem_rep,Quick
5800,aleatorio_sem_rep,Heap
6400,crescente_com_rep,Bubble
6400,crescente_com_rep,Insertion
6400,crescente_com_rep,Selection
6400,crescente_com_rep,Merge
6400,crescente_com_rep,Quick
6400,crescente_com_rep,Heap
6400,decrescente_com_rep,Bubble
6400,decrescente_com_rep,Insertion
6400,decrescente_com_rep,Selection
6400,decrescente_com_rep,Merge
6400,decrescente_com_rep,Quick
6400,decrescente_com_rep,Heap
6400,aleatorio_com_rep,Bubble
6400,aleatorio_com_rep,Insertion
6400,aleatorio_com_rep,Selection
6400,aleatorio_com_rep,Merge
6400,aleatorio_com_rep,Quick
6400,aleatorio_com_rep,Heap
6400,crescente_sem_rep,Bubble
6400,crescente_sem_rep,Insertion
6400,crescente_sem_rep,Selection
6400,crescente_sem_rep,Merge
6400,crescente_sem_rep,Quick
6400,crescente_sem_rep,Heap
6400,decrescente_sem_rep,Bubble
6400,decrescente_sem_rep,Insertion
6400,decrescente_sem_rep,Selection
6400,decrescente_sem_rep,Merge
6400,decrescente_sem_rep,Quick
6400,decrescente_sem_rep,Heap
6400,aleatorio_sem_rep,Bubble
6400,aleatorio_sem_rep,Insertion
6400,aleatorio_sem_rep,Selection
6400,aleatorio_sem_rep,Merge
6400,aleatorio_sem_rep,Quick
6400,aleatorio_sem_rep,Heap
7000,crescente_com_rep,Bubble
7000,crescente_com_rep,Insertion
7000,crescente_com_rep,Selection
7000,crescente_com_rep,Merge
7000,crescente_com_rep,Quick
7000,crescente_com_rep,Heap
7000,decrescente_com_rep,Bubble
7000,decrescente_com_rep,Insertion
7000,decrescente_com_rep,Selection
7000,decrescente_com_rep,Merge
7000,decrescente_com_rep,Quick
7000,decrescente_com_rep,Heap
7000,aleatorio_com_rep,Bubble
7000,aleatorio_com_rep,Insertion
7000,aleatorio_com_rep,Selection
7000,aleatorio_com_rep,Merge
7000,aleatorio_com_rep,Quick
7000,aleatorio_com_rep,Heap
7000,crescente_sem_rep,Bubble
7000,crescente_sem_rep,Insertion
7000,crescente_sem_rep,Selection
7000,crescente_sem_rep,Merge
7000,crescente_sem_rep,Quick
7000,crescente_sem_rep,Heap
7000,decrescente_sem_rep,Bubble
7000,decrescente_sem_rep,Insertion
7000,decrescente_sem_rep,Selection
7000,decrescente_sem_rep,Merge
7000,decrescente_sem_rep,Quick
7000,decrescente_sem_rep,Heap
7000,aleatorio_sem_rep,Bubble
7000,aleatorio_sem_rep,Insertion
7000,aleatorio_sem_rep,Selection
7000,aleatorio_sem_rep,Merge
7000,aleatorio_sem_rep,Quick
7000,aleatorio_sem_rep,Heap
